name,start,end
billboard,0:00:00,0:01:00
newscastI,0:01:00,0:04:00
newcastII,0:04:00,0:05:46
newcastFundingA,0:05:46,0:06:00
newcastIII,0:06:00,0:09:30
musicA,0:09:30,0:10:00
segmentA,0:10:00,0:19:00
promoA,0:19:00,0:19:30
musicB,0:19:30,0:21:00
segmentB,0:21:00,0:28:50
fundingCreditA,0:28:50,0:29:30
musicC,0:29:30,0:30:00
return,0:30:00,0:30:30
newscastIV,0:30:30,0:33:30
newscastV,0:33:30,0:35:15
newscastFundingB,0:35:15,0:35:30
segmentC,0:35:30,0:39:30
musicD,0:39:30,0:40:00
segmentD,0:40:00,0:49:30
promoB,0:49:30,0:51:00
musicE,0:51:00,0:51:10
segmentE,0:51:10,0:58:20
fundingCreditB,0:58:20,0:59:00
musicF,0:59:00,1:00:00
